Dates;bitcoin;litecoin;ripple;dogecoin;monero;stellar;tether;ethereum;ethereum-classic;bitcoin-cash;binancecoin;cardano;tron;chainlink;maker;usd-coin;matic-network;solana;polkadot;avalanche-2;staked-ether
2013-07-06;67.809;2.43753;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-07-07;68.0831;2.40999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-07-08;77.502;2.68284;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-07-09;76.3915;2.62584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-07-10;77.0;2.5908;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-07-11;85.75;2.78437;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-07-12;93.804;2.82094;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-07-13;88.0622;2.702;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-07-14;95.58;2.79461;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-07-15;94.0;2.86238;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-07-16;97.301;2.95499;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-07-17;98.9796;3.1363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-07-18;97.8;3.09778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-07-19;88.7869;2.83108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-07-20;91.572;2.94747;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-07-21;89.28;2.8741;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-07-22;90.3672;2.90203;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-07-23;91.7024;2.90663;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-07-24;94.5806;2.89478;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-07-25;94.525;2.94829;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-07-26;96.9499;2.90025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-07-27;94.13;2.8811;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-07-28;94.005;2.8854;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-07-29;98.5759;2.94805;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-07-30;101.5;2.96412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-07-31;110.34;2.9615;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-08-01;106.23;2.93786;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-08-02;101.61;2.92638;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-08-03;103.7;2.88654;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-08-04;104.86;2.9925;0.00587384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-08-05;106.56;2.91851;0.00565258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-08-06;105.841;2.86431;0.00466886;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-08-07;106.75;2.76763;0.00448605;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-08-08;101.672;2.77139;0.00419553;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-08-09;103.4;2.71414;0.00427738;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-08-10;102.71;2.6471;0.00431834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-08-11;103.77;2.60786;0.00437208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-08-12;105.18;2.63477;0.00439693;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-08-13;106.068;2.66569;0.0042276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-08-14;111.621;2.76535;0.00384587;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-08-15;111.87;2.74753;0.00332756;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-08-16;109.867;2.74309;0.0029013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-08-17;112.74;2.71122;0.00549521;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-08-18;114.4;2.81783;0.00619764;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-08-19;118.782;2.81232;0.00555976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-08-20;120.5;2.82928;0.00606081;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-08-21;121.51;2.75302;0.00633807;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-08-22;122.499;2.62637;0.0059671;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-08-23;120.0;2.76157;0.0051352;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-08-24;120.44;2.723;0.00552798;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-08-25;122.0;2.65522;0.00609973;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-08-26;122.04;2.57915;0.0064659;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-08-27;125.67;2.52787;0.00641998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-08-28;123.02;2.54263;0.00634881;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-08-29;123.44;2.5436;0.00582002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-08-30;129.2;2.53617;0.00604502;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-08-31;137.76;2.67694;0.00586333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-09-01;138.17;2.59768;0.00580064;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-09-02;137.17;2.60021;0.00562712;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-09-03;137.51;2.50546;0.00567312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-09-04;135.21;2.68029;0.005577;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-09-05;129.96;2.79602;0.00583863;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-09-06;126.13;2.73178;0.0059111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-09-07;123.73;2.70368;0.006188;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-09-08;121.77;2.67392;0.00614238;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-09-09;126.4;2.65835;0.00618881;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-09-10;127.78;2.6822;0.00585396;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-09-11;131.65;2.65227;0.00608146;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-09-12;134.22;2.68863;0.00642623;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-09-13;135.05;2.66591;0.0065889;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-09-14;131.39;2.62133;0.00634135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-09-15;129.95;2.66533;0.0064294;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-09-16;131.48;2.6549;0.00704318;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-09-17;131.31;2.63197;0.00961002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-09-18;132.06;2.57915;0.0108464;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-09-19;130.23;2.56348;0.0111217;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-09-20;128.57;2.59031;0.0101137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-09-21;126.78;2.52798;0.00974518;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-09-22;128.37;2.53531;0.0104008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-09-23;126.73;2.48431;0.0100193;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-09-24;126.09;2.43742;0.010433;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-09-25;127.99;2.46528;0.0105899;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-09-26;128.02;2.39876;0.011676;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-09-27;131.84;2.44145;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-09-28;133.93;2.34505;0.0143469;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-09-29;140.28;2.39315;0.0141405;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-09-30;131.65;2.23438;0.0110409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-10-01;132.55;2.3936;0.0119368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-10-02;132.04;2.42818;0.00930593;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-10-03;123.07;2.01653;0.00840092;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-10-04;128.26;2.2532;0.00946689;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-10-05;129.57;2.21442;0.0092795;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-10-06;127.56;2.14452;0.0103753;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-10-07;128.38;2.1449;0.00933073;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-10-08;125.72;2.05116;0.00971878;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-10-09;130.9;1.95993;0.00944168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-10-10;129.68;2.00256;0.010089;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-10-11;130.27;2.08044;0.00906698;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-10-12;135.35;2.12099;0.00891616;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-10-13;135.48;2.13799;0.00889263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-10-14;140.48;2.0817;0.00853884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-10-15;143.89;2.03158;0.00798699;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-10-16;143.61;1.90007;0.00758473;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-10-17;146.15;1.89834;0.00776452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-10-18;151.34;1.91093;0.00776709;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-10-19;170.51;1.95658;0.00729291;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-10-20;172.01;1.92744;0.00753032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-10-21;181.41;1.849;0.00674171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-10-22;193.45;1.71588;0.00678454;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-10-23;206.78;1.89033;0.0074298;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-10-24;198.8;2.17744;0.00872816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-10-25;172.48;2.60692;0.00693994;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-10-26;178.96;2.21626;0.00630711;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-10-27;189.83;2.24922;0.00664484;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-10-28;198.55;2.14753;0.0063276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-10-29;204.39;2.18909;0.00593466;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-10-30;204.2;2.1736;0.00605789;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-10-31;203.88;2.24327;0.00599734;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-11-01;205.26;2.33186;0.00618308;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-11-02;206.89;2.45307;0.00653112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-11-03;212.45;2.97589;0.00715258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-11-04;226.28;3.08881;0.00719038;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-11-05;230.63;3.03873;0.0069937;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-11-06;260.85;3.08807;0.00775965;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-11-07;295.63;4.39321;0.00889267;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-11-08;332.02;4.5758;0.0105597;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-11-09;358.0;4.26784;0.00881359;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-11-10;313.0;3.88841;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-11-11;340.55;3.9143;0.00837478;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-11-12;355.48;3.99794;0.00892624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-11-13;404.17;4.22092;0.0105099;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-11-14;408.84;4.34478;0.00987478;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-11-15;424.16;4.33204;0.0096295;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-11-16;437.41;4.38939;0.00998194;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-11-17;488.36;4.29775;0.0103268;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-11-18;580.87;5.44113;0.0109638;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-11-19;614.4;7.8202;0.0082943;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-11-20;565.34;7.10458;0.00728586;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-11-21;675.06;9.09769;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-11-22;731.15;9.48073;0.008754;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-11-23;819.31;10.9884;0.00995799;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-11-24;764.43;10.4496;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-11-25;793.07;10.7737;0.0134786;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-11-26;832.93;14.8243;0.0230756;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-11-27;914.13;26.0103;0.0234877;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-11-28;979.08;50.266;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-11-29;1101.83;35.7801;0.0297636;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-11-30;1127.45;38.7441;0.0357765;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-12-01;1033.39;33.7176;0.0527312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-12-02;974.03;31.067;0.0575158;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-12-03;1078.64;34.9061;0.0491969;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
