Dates;bitcoin;litecoin;ripple;dogecoin;monero;stellar;tether;ethereum;ethereum-classic;bitcoin-cash;binancecoin;cardano;tron;chainlink;maker;usd-coin;matic-network;solana;polkadot;avalanche-2;staked-ether
2015-09-24;124125639.29530513;51033697.615711756;419912.00000000006;37664.43516126887;15783.90283051057;3404.5335823862342;5751;818263.068224302;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-09-25;115435785.46487305;41737715.800245754;408041.0;55804.9809334011;71360.7203823215;931.1239212162868;103469;901151.6190115963;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-09-26;93607431.45305927;19467295.022436105;438200.00000000006;25597.414347013135;38938.27791094454;4595.736617117037;608;379124.1859007531;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-09-27;75776526.63573742;12366678.19856818;270173.0;28098.936453244853;16451.69678399775;2497.2244477147624;542;408380.6390382605;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-09-28;245683532.12691057;86508281.13832681;574864.9999999999;60386.323098845845;23009.07573810334;4205.364356811583;1982;1214056.2117823916;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-09-29;115160470.82095526;126391693.7287894;970329.0;97603.73082305804;19020.993490937217;4196.38459358676;395468;936630.3296074625;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-09-30;76056339.96172076;50143622.535363846;742543.9999999999;36937.17757680519;92515.31094520139;15655.867828946311;418533;640217.6226458604;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-10-01;72356986.64595664;44526334.47410858;568455.0000000001;28004.805101590795;27144.714270862158;12360.893578629297;142978;588839.7815035215;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-10-02;84448749.0956819;30571340.67512025;577241.0;25244.517034521738;24728.820391612586;2745.2487686157606;178994;220969.48495190177;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-10-03;73353042.37453015;27374781.952879686;405103.9999999999;18776.882278134643;15570.36436879952;1511.3086154439657;3750;163820.85347975112;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-10-04;78899567.08428396;34660955.05823547;355457.99999999994;29756.81226125797;7421.465734469868;935.7026122174547;365080;104370.45073472841;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-10-05;107434379.86060317;28582948.76873397;628116.9999999999;38105.80827876654;17966.604989064945;649.053619393371;3452;221647.20706785333;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-10-06;135776679.78278795;55107265.83534596;349986.00000000006;40020.48174318434;11460.063799428404;2086.987633947712;17780;268523.03787593375;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-10-07;121587412.75625242;60482739.78708826;308791.00000000006;41112.476915341285;19476.686087850285;1500.1433964616015;55902;216715.50684861522;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-10-08;97564224.99277282;32324781.294531744;308791.0;28560.39572588365;27043.720278487835;3351.6370240421325;8079;310876.1441075317;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-10-09;109153976.98039407;43062865.71499568;308791.00000000006;31581.46273601025;20539.756727071297;2867.062788214554;4253;379233.1220398259;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-10-10;89165069.70010512;38436145.64988284;526101.9999999999;10816.08394398028;13011.6583359028;1244.5757063107974;1819;145554.93808006204;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-10-11;79268221.71546365;29779264.417725835;526102.0;8554.881233022425;32136.005125362397;33.277741677829574;116;87074.79961764446;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-10-12;108125413.61682853;52462204.8646961;526102.0;26562.785867155668;16704.049456871824;3560.759114417683;47949;108895.52921643597;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-10-13;164455688.10166356;66990975.26015381;526101.9999999999;29859.874153787136;20981.9067661326;970.3985223326;25982;297117.07710031554;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-10-14;321865165.91051394;84955573.98107925;297063.99999999994;39270.115240372674;16578.47249902375;1796.0279935056874;126516;944847.8047126097;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-10-15;207297257.62019613;51543000.66242573;440223.0000000001;27185.6620101805;28378.600159827452;10564.818683581438;8070;376563.0715091993;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-10-16;332398256.1656234;52354531.971451685;344094.9999999999;40835.887311728686;37519.52864378016;1246.7359239987202;98610;247071.24723507115;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-10-17;271593080.8014066;68327046.70528257;391618.99999999994;20760.505289210683;24317.673295144323;2306.8437820850672;37798;317377.7617794195;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-10-18;116712427.05704656;33502410.304952785;243533.99999999997;12482.708372827321;10963.121053137282;1543.4415002612825;3565;133661.67045159836;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-10-19;224715633.9081733;24903869.22021378;302750.99999999994;20248.267248231314;28212.573665327858;955.9107312516971;3712;240250.37656809334;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-10-20;319017395.23033226;23008528.02274047;407004.0;16251.367097011012;38164.512351368554;1615.2166370763262;5951;352361.0618641571;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-10-21;201630914.85690627;28259367.24377458;256746.0;19566.30918507936;20800.881959881477;701.6912479942524;30330;599041.0131522977;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-10-22;229034925.6796039;7452238.127763669;301573.00000000006;18155.32953144471;15440.272958656959;1861.5048704950361;42407;979304.0724230009;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-10-23;130573069.75416414;18555701.19881011;296182.0000000001;20348.783878152168;22744.967197537735;1648.5898880637592;76000;866798.4888542511;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-10-24;168029249.3828648;11383198.730841033;185315.00000000003;20339.869877152018;20410.96884966042;810.2295795826068;115659;259157.66241063716;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-10-25;336860319.5875912;29799376.65655562;287547.00000000006;18462.794148848734;19158.0260421506;2338.8623895584865;74005;476617.738601437;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-10-26;221583939.26366535;19870241.00356148;428659.00000000006;13362.635920738085;19235.65581729114;9504.379790585297;191117;1174026.819064362;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-10-27;329397533.93903714;19283130.638287626;360357.0;26314.752051463824;22281.35469103724;1407.6060769626451;11647;1887568.9059290001;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-10-28;387209571.0614479;17781579.140112426;315213.0000000001;25138.623766893365;39693.028356024166;3346.304396083603;51255;2447633.7976275166;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-10-29;543163761.4698877;142643961.14305937;556971.0000000001;43857.40265693545;49946.76474908986;4254.01223916983;64636;2236842.210445422;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-10-30;843340993.2179483;359640362.07583493;1014069.9999999999;105322.49060348219;65996.6688837168;4811.615466583084;229115;2384549.998119618;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-10-31;321997491.79856926;208274105.0957733;314981.0000000001;34864.53538837959;19653.375367691315;3622.235560615821;25791;652271.5873221146;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
